ID,config,goal,goal_optimal,goal_type,total_moves,moveIDs
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",move blue C2,13,move,14,"[(102, 87), (83, 69), (101, 107), (79, 89), (72, 71), (55, 56), (73, 51), (75, 76), (93, 52), (80, 79), (98, 53), 'pass', (86, 102), (104, 34)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",clear nocolor A1,7,clear,7,"[(55, 76), (74, 57), (73, 58), (72, 59), (92, 39), (90, 40), (91, 41)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",fill nocolor B2,13,fill,14,"[(79, 81), (96, 65), (80, 64), (97, 63), (98, 45), 'pass', (86, 46), (104, 47), (103, 29), (102, 28), (105, 27), (70, 9), (88, 10), (106, 11)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",cover blue all,5,cover,15,"[(77, 54), (75, 56), (56, 75), 'pass', (70, 61), (86, 43), (43, 86), 'pass', (88, 84), 'pass', (106, 87), (55, 76), (103, 65), 'pass', (95, 55)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",fill nocolor C1,14,fill,15,"[(82, 85), (79, 84), (70, 66), 'pass', (88, 67), (80, 68), (100, 48), (77, 50), (97, 49), (96, 31), (83, 30), (98, 32), (99, 12), (94, 13), (101, 14)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",cover green all,6,cover,7,"[(96, 57), (79, 59), (82, 79), (83, 62), (105, 68), (103, 52), (99, 76)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",uncover blue all,5,uncover,9,"[(55, 76), (74, 57), (80, 81), (86, 64), (57, 59), 'pass', (75, 78), 'pass', (83, 107)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",clear nocolor C1,4,clear,7,"[(86, 107), (80, 89), (103, 71), (75, 52), (102, 53), (55, 35), (104, 34)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",uncover red all,4,uncover,6,"[(72, 76), (90, 57), (77, 62), 'pass', (70, 107), (82, 90)]"
89675,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'blue', 'blue', 'red', 'green', 'white', 'green', 'white', 'blue', 'green', 'white', 'red', 'blue', 'white', 'white', 'green', 'white', 'red', 'white', 'red', 'green', 'green', 'blue', 'green', 'red', 'red', 'green', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'green', 'white']",move red C2,11,move,15,"[(103, 107), (86, 52), (82, 87), (80, 89), (100, 69), (99, 51), (96, 33), (75, 34), (55, 71), (74, 53), (77, 76), (92, 58), (95, 35), (72, 92), (90, 15)]"
